SUBDIVISION,YEAR,KHARIF,AUTUMN,SUMMER,RABI,WINTER,WHOLE YEAR
andaman and nicobar islands,1997,497.2,225.025,466.3666666666667,59.41666666666667,15.966666666666667,229.59166666666667
andaman and nicobar islands,1998,390.3,318.3,437.8,52.95,29.966666666666665,237.2
andaman and nicobar islands,1999,339.5,258.35,320.3,107.8,79.03333333333333,224.975
andaman and nicobar islands,2000,311.05,211.2,318.7,129.15,75.73333333333333,230.25833333333333
andaman and nicobar islands,2001,378.85,229.1,472.43333333333334,98.75,65.5,256.73333333333335
andaman and nicobar islands,2002,381.375,256.4,347.46666666666664,93.15,46.833333333333336,218.34166666666667
andaman and nicobar islands,2003,351.525,201.1,317.0333333333333,57.15,33.4,196.30833333333334
andaman and nicobar islands,2004,348.04999999999995,168.725,435.96666666666664,56.46666666666667,30.266666666666666,205.0
andaman and nicobar islands,2005,425.075,346.25,395.6666666666667,109.23333333333333,94.63333333333333,246.20833333333334
andaman and nicobar islands,2006,328.7,267.925,290.0333333333333,65.63333333333333,35.03333333333334,200.39166666666665
andaman and nicobar islands,2007,448.3,251.325,403.8333333333333,62.6,30.7,229.01666666666668
andaman and nicobar islands,2008,445.775,242.2,504.8333333333333,133.76666666666668,49.86666666666667,281.2416666666667
andaman and nicobar islands,2009,406.75,182.925,414.6333333333333,54.28333333333333,26.266666666666666,211.55
andaman and nicobar islands,2010,449.47499999999997,295.15,429.93333333333334,106.3,118.7,263.09166666666664
andaman and nicobar islands,2011,541.25,339.675,430.9666666666667,187.36666666666667,196.39999999999998,319.0
andaman and nicobar islands,2012,503.5,391.6,436.46666666666664,123.33333333333334,117.60000000000001,291.46666666666664
andaman and nicobar islands,2013,538.025,343.975,617.0333333333333,106.75,65.66666666666666,313.14166666666665
andaman and nicobar islands,2014,404.675,279.275,374.06666666666666,60.53333333333333,50.300000000000004,218.54166666666669
andaman and nicobar islands,2015,419.65,285.4,335.7333333333333,106.98333333333333,88.1,242.04166666666666
arunachal pradesh,1997,395.925,133.55,385.26666666666665,70.01666666666667,40.333333333333336,189.575
arunachal pradesh,1998,676.85,111.75,646.1999999999999,74.51666666666667,36.0,301.39166666666665
arunachal pradesh,1999,379.75,123.625,390.0333333333333,41.1,6.1,193.05833333333334
arunachal pradesh,2000,412.5,138.04999999999998,374.1333333333333,99.73333333333333,36.93333333333334,216.40833333333333
arunachal pradesh,2001,286.95,124.025,258.4666666666667,86.45,44.86666666666667,169.65833333333333
arunachal pradesh,2002,387.35,103.69999999999999,399.3,91.46666666666667,43.1,199.10833333333332
arunachal pradesh,2003,414.17499999999995,120.925,414.3666666666667,73.15,40.766666666666666,204.30833333333334
arunachal pradesh,2004,394.67499999999995,121.025,451.96666666666664,80.6,30.766666666666666,212.15
arunachal pradesh,2005,335.925,103.7,293.3,112.11666666666667,73.1,194.625
arunachal pradesh,2006,348.34999999999997,107.95,408.09999999999997,77.85,43.8,188.28333333333333
arunachal pradesh,2007,546.275,165.77499999999998,513.8666666666667,80.41666666666666,39.233333333333334,251.71666666666667
arunachal pradesh,2008,377.175,77.27499999999999,354.90000000000003,72.61666666666667,39.66666666666667,187.04166666666666
arunachal pradesh,2009,277.95,71.3,259.6333333333333,60.9,42.233333333333334,145.83333333333334
arunachal pradesh,2010,413.4,153.75,400.2,131.93333333333334,9.333333333333332,237.96666666666667
arunachal pradesh,2011,346.025,92.5,346.46666666666664,89.66666666666667,35.5,182.8
arunachal pradesh,2012,581.4,255.29999999999998,490.7,113.23333333333332,39.93333333333333,286.7083333333333
arunachal pradesh,2013,291.475,127.025,318.4666666666667,62.85,24.53333333333333,170.24166666666667
arunachal pradesh,2014,437.7,102.1,369.06666666666666,53.03333333333333,43.7,200.25833333333333
arunachal pradesh,2015,484.225,125.75,402.0333333333333,87.75,36.03333333333333,230.625
assam and meghalaya,1997,440.85,112.8,440.96666666666664,55.1,31.433333333333334,197.68333333333334
assam and meghalaya,1998,486.85,112.9,478.73333333333335,69.18333333333334,14.566666666666666,233.59166666666667
assam and meghalaya,1999,427.52500000000003,105.475,497.5,34.766666666666666,1.7333333333333332,216.175
assam and meghalaya,2000,416.65000000000003,101.6,409.53333333333336,60.2,11.533333333333333,207.23333333333335
assam and meghalaya,2001,353.32500000000005,122.75,372.43333333333334,49.583333333333336,15.833333333333334,181.55
assam and meghalaya,2002,397.45,84.125,451.5,77.73333333333333,11.266666666666666,199.38333333333333
assam and meghalaya,2003,393.325,128.35,422.8,65.55,23.2,202.85
assam and meghalaya,2004,462.42499999999995,167.775,529.5,76.91666666666667,13.8,249.51666666666665
assam and meghalaya,2005,381.3,100.925,376.5333333333333,73.86666666666666,18.2,205.68333333333334
assam and meghalaya,2006,302.05,96.425,357.3,44.53333333333333,17.433333333333334,158.225
assam and meghalaya,2007,493.775,177.775,464.06666666666666,65.51666666666667,26.400000000000002,229.39166666666668
assam and meghalaya,2008,420.975,101.175,372.8,51.949999999999996,15.266666666666666,194.96666666666667
assam and meghalaya,2009,368.375,85.30000000000001,331.3,35.38333333333333,7.833333333333333,172.35
assam and meghalaya,2010,422.52500000000003,113.425,459.40000000000003,85.28333333333333,3.7333333333333334,225.95000000000002
assam and meghalaya,2011,309.0,66.8,316.7,39.833333333333336,8.666666666666666,145.29166666666666
assam and meghalaya,2012,468.70000000000005,157.6,453.2666666666667,58.233333333333334,8.133333333333333,217.45000000000002
assam and meghalaya,2013,293.25,89.65,333.56666666666666,28.416666666666668,4.233333333333333,151.375
assam and meghalaya,2014,426.4,114.64999999999999,383.96666666666664,19.083333333333332,10.233333333333334,183.85
assam and meghalaya,2015,432.35,92.925,397.03333333333336,57.75,14.7,205.91666666666666
bihar,1997,287.075,63.800000000000004,239.03333333333333,14.233333333333334,14.066666666666666,108.64166666666667
bihar,1998,281.775,71.375,199.96666666666667,14.05,6.533333333333333,111.05
bihar,1999,298.25,80.3,243.16666666666669,2.0,0.3,116.89166666666667
bihar,2000,261.925,81.125,209.23333333333335,8.916666666666668,4.233333333333333,100.58333333333333
bihar,2001,237.45,114.15,182.5,2.933333333333333,0.5,103.925
bihar,2002,235.8,57.175000000000004,192.5,9.0,8.466666666666667,92.15
bihar,2003,270.55,82.275,209.70000000000002,14.7,18.633333333333333,112.81666666666668
bihar,2004,239.1,43.699999999999996,245.96666666666667,10.35,8.266666666666666,95.63333333333333
bihar,2005,199.175,34.9,137.03333333333333,8.033333333333333,9.466666666666667,75.65
bihar,2006,234.075,76.825,187.96666666666667,4.283333333333333,0.5666666666666667,87.73333333333333
bihar,2007,342.35,91.3,271.4,16.116666666666667,13.966666666666667,133.34166666666667
bihar,2008,270.9,34.65,245.76666666666665,7.283333333333334,10.0,99.8
bihar,2009,176.95,51.525,126.6,1.7666666666666666,0.5,74.125
bihar,2010,134.05,36.6,105.5,2.5,1.1,52.43333333333334
bihar,2011,241.225,61.75,175.53333333333333,7.983333333333333,4.266666666666667,91.44166666666666
bihar,2012,231.1,68.625,156.33333333333334,9.15,6.933333333333334,86.03333333333333
bihar,2013,180.55,85.2,151.6,10.166666666666666,9.233333333333334,89.15
bihar,2014,212.125,52.325,161.5,10.133333333333333,17.233333333333334,88.41666666666667
bihar,2015,185.575,28.025000000000002,131.03333333333333,13.416666666666668,4.866666666666667,72.725
chhattisgarh,1997,280.15,75.65,181.86666666666667,26.533333333333335,19.966666666666665,109.76666666666667
chhattisgarh,1998,265.025,107.3,176.2,27.183333333333334,25.366666666666667,111.05833333333334
chhattisgarh,1999,298.725,86.7,188.0,0.85,1.2333333333333334,110.225
chhattisgarh,2000,221.95,43.425,170.79999999999998,0.8333333333333334,0.9,75.53333333333333
chhattisgarh,2001,364.675,49.975,328.8666666666667,6.316666666666666,0.3666666666666667,133.34166666666667
chhattisgarh,2002,202.35,52.324999999999996,122.26666666666668,15.183333333333334,20.766666666666666,82.53333333333333
chhattisgarh,2003,369.77500000000003,140.6,192.0,9.466666666666667,12.1,141.18333333333334
chhattisgarh,2004,253.6,42.8,181.0,13.266666666666666,18.2,95.39166666666667
chhattisgarh,2005,274.75,81.65,202.4,14.733333333333334,24.733333333333334,107.275
chhattisgarh,2006,304.775,53.425,203.60000000000002,10.316666666666666,1.1333333333333333,109.81666666666666
chhattisgarh,2007,291.8,82.35000000000001,193.23333333333332,5.966666666666667,5.3999999999999995,106.76666666666667
chhattisgarh,2008,259.35,56.825,175.46666666666667,8.5,5.466666666666667,92.38333333333334
chhattisgarh,2009,213.025,48.175000000000004,170.5,8.3,1.0333333333333332,79.725
chhattisgarh,2010,293.05,101.15,180.66666666666666,11.25,13.466666666666667,108.88333333333334
chhattisgarh,2011,304.525,100.125,157.63333333333335,8.7,4.866666666666666,108.55
chhattisgarh,2012,316.35,72.625,195.76666666666668,13.8,15.466666666666667,114.78333333333333
chhattisgarh,2013,289.975,80.525,229.36666666666667,12.25,7.5,118.33333333333334
chhattisgarh,2014,275.5,83.575,182.2,12.283333333333333,10.8,106.55
chhattisgarh,2015,252.425,59.175000000000004,173.06666666666666,12.883333333333333,6.166666666666667,93.14166666666667
coastal andhra pradesh,1997,165.675,124.125,81.43333333333334,33.4,22.133333333333333,80.99166666666666
coastal andhra pradesh,1998,214.5,140.675,127.96666666666667,40.083333333333336,16.1,109.225
coastal andhra pradesh,1999,138.675,79.925,118.3,7.05,0.9333333333333333,68.76666666666667
coastal andhra pradesh,2000,192.25,48.875,141.0,14.216666666666667,18.3,82.69166666666666
coastal andhra pradesh,2001,149.525,116.325,97.0,27.433333333333334,4.166666666666666,84.125
coastal andhra pradesh,2002,108.775,58.675,74.96666666666667,14.066666666666666,9.333333333333334,58.6
coastal andhra pradesh,2003,158.55,123.775,119.3,33.05,42.233333333333334,91.41666666666667
coastal andhra pradesh,2004,142.9,64.8,134.16666666666666,16.116666666666667,11.866666666666667,72.81666666666666
coastal andhra pradesh,2005,185.9,189.125,96.0,21.933333333333334,8.6,101.8
coastal andhra pradesh,2006,190.65,116.2,108.8,24.0,0.0,96.63333333333333
coastal andhra pradesh,2007,223.15,116.8,151.36666666666667,4.35,1.8666666666666665,91.61666666666667
coastal andhra pradesh,2008,192.825,72.75,121.06666666666666,41.61666666666667,22.0,92.29166666666667
coastal andhra pradesh,2009,132.225,87.1,88.83333333333333,19.333333333333332,0.43333333333333335,65.875
coastal andhra pradesh,2010,238.52499999999998,195.9,212.33333333333331,65.4,54.099999999999994,142.70833333333334
coastal andhra pradesh,2011,157.075,53.55,116.9,15.166666666666666,7.633333333333333,71.81666666666666
coastal andhra pradesh,2012,196.25,169.05,118.86666666666667,59.0,12.533333333333333,109.85833333333333
coastal andhra pradesh,2013,136.25,149.85,106.03333333333333,22.616666666666667,11.466666666666667,93.36666666666666
coastal andhra pradesh,2014,129.95000000000002,92.55,103.46666666666667,7.8,2.666666666666667,72.925
coastal andhra pradesh,2015,198.4,86.17500000000001,144.63333333333333,20.6,1.5333333333333332,84.25
coastal karnataka,1997,893.9499999999999,108.65,778.6,34.35,19.96666666666667,329.4583333333333
coastal karnataka,1998,816.275,233.92499999999998,710.1333333333333,16.65,3.766666666666667,309.0
coastal karnataka,1999,771.225,134.5,905.1666666666667,3.533333333333333,0.3,314.98333333333335
coastal karnataka,2000,725.825,117.19999999999999,699.6,9.5,5.933333333333334,279.28333333333336
coastal karnataka,2001,665.775,92.675,671.2666666666667,20.333333333333336,0.5333333333333333,259.30833333333334
coastal karnataka,2002,551.25,136.125,491.40000000000003,10.7,4.033333333333333,232.76666666666668
coastal karnataka,2003,704.475,107.6,651.5333333333333,10.016666666666666,1.2333333333333334,255.99166666666667
coastal karnataka,2004,638.2,77.8,617.7,13.85,0.0,255.81666666666666
coastal karnataka,2005,786.775,165.45,681.3,16.683333333333334,1.0,289.2416666666667
coastal karnataka,2006,790.15,178.375,752.2,18.166666666666668,0.3333333333333333,319.775
coastal karnataka,2007,891.825,205.4,672.5,13.183333333333334,0.26666666666666666,321.69166666666666
coastal karnataka,2008,702.025,126.925,534.2666666666667,40.4,9.433333333333334,267.2
coastal karnataka,2009,811.5,246.475,776.6333333333333,37.983333333333334,11.933333333333334,321.83333333333337
coastal karnataka,2010,747.2,251.39999999999998,654.3666666666667,53.833333333333336,8.6,307.225
coastal karnataka,2011,876.35,203.925,716.0666666666666,29.183333333333334,6.266666666666667,325.71666666666664
